article_id,portal,tone,framing,balance,political_lean,dominant_actor
ART0105,Portal B,2,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0106,Portal B,1,ekonomski,0,pro_srpska_opcija,actor_018
ART0107,Portal A,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0108,Portal A,1,konflikt,0,pro_gradjanska_opcija,actor_059
ART0109,Portal B,-2,konflikt,2,neutralan,actor_052
ART0110,Portal E,1,odgovornost,0,pro_vlast,actor_054
ART0111,Portal D,0,proceduralni,2,neutralan,actor_031
ART0112,Portal D,2,nacionalni,0,pro_srpska_opcija,actor_031
ART0113,Portal D,-2,konflikt,2,pro_opozicija,actor_040
ART0114,Portal B,-1,odgovornost,0,pro_opozicija,actor_043
ART0115,Portal C,-1,nacionalni,0,pro_hrvatska_opcija,actor_046
ART0116,Portal A,-2,odgovornost,1,neutralan,actor_055
ART0117,Portal A,-2,moralni,0,neutralan,actor_031
ART0118,Portal A,0,konflikt,0,pro_bosnjacka_opcija,actor_030
ART0119,Portal D,1,proceduralni,0,neutralan,actor_049
ART0120,Portal A,-2,odgovornost,0,pro_opozicija,actor_017
ART0121,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0122,Portal A,-1,ekonomski,1,pro_vlast,actor_064
ART0123,Portal D,0,proceduralni,0,pro_vlast,actor_033
ART0124,Portal B,-2,neutralan,0,pro_opozicija,actor_027
ART0125,Portal C,-1,proceduralni,1,pro_gradjanska_opcija,actor_020
ART0126,Portal A,1,konflikt,0,pro_opozicija,actor_059
ART0127,Portal A,1,odgovornost,0,pro_opozicija,actor_030
ART0128,Portal E,0,ekonomski,0,pro_vlast,actor_033
ART0129,Portal E,-2,odgovornost,0,pro_gradjanska_opcija,actor_017
ART0130,Portal E,1,ekonomski,0,pro_vlast,actor_037
ART0131,Portal D,0,proceduralni,0,neutralan,actor_049
ART0132,Portal C,-1,odgovornost,0,neutralan,actor_012
ART0133,Portal E,-1,nacionalni,0,pro_srpska_opcija,actor_004
ART0134,Portal E,-2,ekonomski,0,pro_gradjanska_opcija,actor_012
ART0135,Portal B,0,proceduralni,1,pro_srpska_opcija,actor_027
ART0136,Portal B,-2,konflikt,0,pro_gradjanska_opcija,actor_027
ART0137,Portal B,1,odgovornost,0,pro_vlast,actor_014
ART0138,Portal A,-2,odgovornost,0,pro_opozicija,actor_057
ART0139,Portal B,1,ekonomski,0,pro_vlast,actor_018
ART0140,Portal D,-1,proceduralni,0,neutralan,actor_020
ART0141,Portal B,-1,proceduralni,1,pro_vlast,actor_057
ART0142,Portal E,-1,proceduralni,0,neutralan,actor_019
ART0143,Portal C,-1,proceduralni,0,neutralan,actor_012
ART0144,Portal D,1,proceduralni,0,neutralan,actor_036
ART0145,Portal A,1,odgovornost,0,neutralan,actor_055
ART0146,Portal C,0,ekonomski,0,pro_vlast,actor_039
ART0147,Portal E,-1,konflikt,0,pro_srpska_opcija,actor_045
ART0148,Portal E,-1,proceduralni,0,pro_gradjanska_opcija,actor_043
ART0149,Portal D,0,konflikt,1,neutralan,actor_027
ART0150,Portal A,0,proceduralni,0,neutralan,actor_031
ART0151,Portal A,-1,konflikt,0,pro_bosnjacka_opcija,actor_027
ART0152,Portal C,-1,odgovornost,0,neutralan,actor_012
ART0153,Portal A,-1,konflikt,1,pro_gradjanska_opcija,actor_027
ART0154,Portal D,0,proceduralni,1,neutralan,actor_049
ART0155,Portal D,0,proceduralni,1,neutralan,actor_023
ART0156,Portal D,0,proceduralni,0,pro_gradjanska_opcija,actor_049
ART0157,Portal C,-1,nacionalni,0,pro_hrvatska_opcija,actor_044
ART0158,Portal B,-1,proceduralni,0,pro_opozicija,actor_023
ART0159,Portal E,0,moralni,0,pro_bosnjacka_opcija,actor_055
ART0160,Portal B,1,odgovornost,0,neutralan,actor_059
ART0161,Portal A,-2,ekonomski,0,pro_opozicija,actor_053
ART0162,Portal C,1,odgovornost,0,pro_hrvatska_opcija,actor_017
ART0163,Portal C,-1,odgovornost,0,pro_hrvatska_opcija,actor_059
ART0164,Portal D,-1,proceduralni,0,neutralan,actor_015
ART0165,Portal A,0,proceduralni,1,neutralan,actor_049
ART0166,Portal B,1,odgovornost,0,pro_opozicija,actor_059
ART0167,Portal D,0,nacionalni,0,pro_bosnjacka_opcija,actor_055
ART0168,Portal E,-2,odgovornost,0,pro_opozicija,actor_037
ART0169,Portal B,1,proceduralni,1,neutralan,actor_037
ART0170,Portal B,-1,konflikt,1,pro_bosnjacka_opcija,actor_059
ART0171,Portal B,-1,odgovornost,1,pro_vlast,actor_017
ART0172,Portal E,-1,konflikt,0,pro_srpska_opcija,actor_027
ART0173,Portal B,-1,konflikt,1,pro_hrvatska_opcija,actor_025
ART0174,Portal C,-1,ekonomski,1,neutralan,actor_027
ART0175,Portal E,1,proceduralni,0,pro_vlast,actor_054
ART0176,Portal C,-2,nacionalni,0,pro_hrvatska_opcija,actor_044
ART0177,Portal A,0,konflikt,1,pro_gradjanska_opcija,actor_059
ART0178,Portal A,0,nacionalni,0,pro_srpska_opcija,actor_057
ART0179,Portal E,1,nacionalni,1,pro_srpska_opcija,actor_031
ART0180,Portal E,1,proceduralni,0,pro_bosnjacka_opcija,actor_055
ART0181,Portal C,-1,konflikt,1,pro_opozicija,actor_030
ART0182,Portal C,1,ekonomski,1,pro_vlast,actor_025
ART0183,Portal D,2,moralni,0,pro_srpska_opcija,actor_004
ART0184,Portal D,0,proceduralni,0,neutralan,actor_012
ART0185,Portal D,0,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0186,Portal C,-1,odgovornost,2,pro_gradjanska_opcija,actor_043
ART0187,Portal B,-1,konflikt,0,pro_hrvatska_opcija,actor_017
ART0188,Portal C,-1,nacionalni,0,pro_hrvatska_opcija,actor_059
ART0189,Portal C,0,proceduralni,2,pro_hrvatska_opcija,actor_055
ART0190,Portal A,1,konflikt,0,pro_opozicija,actor_030
ART0191,Portal D,0,ekonomski,1,neutralan,actor_064
ART0192,Portal B,1,odgovornost,0,pro_hrvatska_opcija,actor_017
ART0193,Portal B,1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0194,Portal B,-2,nacionalni,0,pro_bosnjacka_opcija,actor_057
ART0195,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_005
ART0196,Portal A,0,proceduralni,1,neutralan,actor_049
ART0197,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0198,Portal B,1,konflikt,0,pro_gradjanska_opcija,actor_054
ART0199,Portal D,0,konflikt,1,pro_srpska_opcija,actor_027
ART0200,Portal E,1,neutralan,2,neutralan,actor_020
ART0201,Portal B,0,proceduralni,0,neutralan,actor_027
ART0202,Portal D,-2,odgovornost,0,neutralan,actor_012
ART0203,Portal C,1,odgovornost,1,pro_vlast,actor_055
ART0204,Portal E,1,konflikt,0,pro_opozicija,actor_062
ART0205,Portal E,1,ekonomski,0,pro_vlast,actor_055
ART0206,Portal A,1,proceduralni,0,pro_srpska_opcija,actor_064
ART0207,Portal B,-1,konflikt,2,pro_opozicija,actor_023
ART0208,Portal E,-1,nacionalni,0,pro_bosnjacka_opcija,actor_031
ART0209,Portal C,-1,nacionalni,0,pro_hrvatska_opcija,actor_015
ART0210,Portal E,1,proceduralni,0,neutralan,actor_049
ART0211,Portal A,1,nacionalni,0,pro_srpska_opcija,actor_004
ART0212,Portal D,1,proceduralni,2,pro_opozicija,actor_062
ART0213,Portal D,0,ekonomski,0,pro_vlast,actor_055
ART0214,Portal A,1,odgovornost,0,pro_vlast,actor_054
ART0215,Portal E,0,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0216,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0217,Portal B,-2,nacionalni,0,pro_bosnjacka_opcija,actor_027
ART0218,Portal C,-2,proceduralni,1,pro_hrvatska_opcija,actor_055
ART0219,Portal C,-2,ekonomski,0,pro_gradjanska_opcija,actor_012
ART0220,Portal A,-1,proceduralni,0,pro_gradjanska_opcija,actor_027
ART0221,Portal C,1,ekonomski,1,pro_vlast,actor_039
ART0222,Portal C,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0223,Portal E,0,odgovornost,0,pro_gradjanska_opcija,actor_055
ART0224,Portal A,-2,konflikt,0,pro_opozicija,actor_028
ART0225,Portal B,-2,odgovornost,0,pro_bosnjacka_opcija,actor_037
ART0226,Portal A,-2,ekonomski,0,pro_opozicija,actor_054
ART0227,Portal E,1,odgovornost,0,pro_vlast,actor_007
ART0228,Portal D,-1,konflikt,0,pro_gradjanska_opcija,actor_031
ART0229,Portal B,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0230,Portal C,-1,proceduralni,0,neutralan,actor_055
ART0231,Portal D,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0232,Portal E,0,proceduralni,0,neutralan,actor_043
ART0233,Portal B,-1,nacionalni,0,pro_opozicija,actor_027
ART0234,Portal D,-1,proceduralni,0,pro_srpska_opcija,actor_015
ART0235,Portal B,0,proceduralni,0,neutralan,actor_039
ART0236,Portal A,1,neutralan,0,pro_opozicija,actor_059
ART0237,Portal E,2,ekonomski,0,pro_srpska_opcija,actor_031
ART0238,Portal B,1,proceduralni,0,pro_opozicija,actor_062
ART0239,Portal A,-1,odgovornost,0,pro_opozicija,actor_039
ART0240,Portal B,1,proceduralni,0,pro_bosnjacka_opcija,actor_055
ART0241,Portal A,-2,odgovornost,1,pro_opozicija,actor_043
ART0242,Portal B,-1,ekonomski,0,neutralan,actor_012
ART0243,Portal E,0,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0244,Portal D,1,proceduralni,0,pro_gradjanska_opcija,actor_055
ART0245,Portal B,1,neutralan,0,pro_gradjanska_opcija,actor_044
ART0246,Portal B,-1,nacionalni,0,pro_srpska_opcija,actor_018
ART0247,Portal E,1,odgovornost,0,pro_vlast,actor_006
ART0248,Portal B,-1,konflikt,0,pro_opozicija,actor_031
ART0249,Portal B,0,nacionalni,1,pro_bosnjacka_opcija,actor_039
ART0250,Portal E,0,proceduralni,1,neutralan,actor_031
ART0251,Portal A,2,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0252,Portal C,0,proceduralni,2,neutralan,actor_026
ART0253,Portal B,-2,proceduralni,0,pro_bosnjacka_opcija,actor_017
ART0254,Portal B,0,neutralan,0,pro_srpska_opcija,actor_027
ART0255,Portal C,-1,proceduralni,0,pro_gradjanska_opcija,actor_049
ART0256,Portal B,1,proceduralni,0,pro_gradjanska_opcija,actor_059
ART0257,Portal C,0,odgovornost,0,neutralan,actor_017
ART0258,Portal E,2,konflikt,0,pro_opozicija,actor_030
ART0259,Portal D,1,odgovornost,1,pro_srpska_opcija,actor_064
ART0260,Portal C,1,proceduralni,0,pro_srpska_opcija,actor_027
ART0261,Portal D,1,proceduralni,1,pro_opozicija,actor_023
ART0262,Portal E,-1,moralni,1,pro_vlast,actor_027
ART0263,Portal E,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0264,Portal C,-1,konflikt,0,pro_hrvatska_opcija,actor_059
ART0265,Portal C,-2,konflikt,0,pro_vlast,actor_027
ART0266,Portal E,1,proceduralni,0,pro_hrvatska_opcija,actor_040
ART0267,Portal A,0,proceduralni,0,pro_bosnjacka_opcija,actor_027
ART0268,Portal E,-1,nacionalni,0,neutralan,actor_031
ART0269,Portal C,0,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0270,Portal D,0,odgovornost,1,neutralan,actor_055
ART0271,Portal D,-1,ekonomski,0,pro_srpska_opcija,actor_053
ART0272,Portal C,0,neutralan,0,neutralan,actor_043
ART0273,Portal E,0,proceduralni,0,pro_gradjanska_opcija,actor_019
ART0274,Portal E,-1,ekonomski,0,pro_opozicija,actor_039
ART0275,Portal B,1,proceduralni,0,pro_bosnjacka_opcija,actor_063
ART0276,Portal E,1,ekonomski,0,pro_vlast,actor_043
ART0277,Portal C,1,proceduralni,0,pro_opozicija,actor_063
ART0278,Portal B,-1,proceduralni,0,pro_opozicija,actor_027
ART0279,Portal A,-1,neutralan,0,neutralan,actor_063
ART0280,Portal C,0,proceduralni,1,neutralan,actor_015
ART0281,Portal C,0,konflikt,2,neutralan,actor_052
ART0282,Portal D,0,konflikt,2,neutralan,actor_052
ART0283,Portal A,-2,proceduralni,1,pro_opozicija,actor_037
ART0284,Portal E,0,proceduralni,0,neutralan,actor_055
ART0285,Portal B,1,proceduralni,0,pro_opozicija,actor_063
ART0286,Portal B,2,ekonomski,0,pro_vlast,actor_043
ART0287,Portal A,1,proceduralni,0,neutralan,actor_049
ART0288,Portal A,-1,odgovornost,0,pro_opozicija,actor_027
ART0289,Portal C,-2,nacionalni,0,pro_hrvatska_opcija,actor_059
ART0290,Portal D,1,nacionalni,2,pro_srpska_opcija,actor_033
ART0291,Portal A,1,ekonomski,0,pro_vlast,actor_006
ART0292,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0293,Portal A,-1,odgovornost,1,neutralan,actor_012
ART0294,Portal D,1,neutralan,0,pro_hrvatska_opcija,actor_017
ART0295,Portal E,-2,ekonomski,1,pro_gradjanska_opcija,actor_053
ART0296,Portal E,-2,nacionalni,0,pro_bosnjacka_opcija,actor_031
ART0297,Portal A,-1,neutralan,0,pro_gradjanska_opcija,actor_027
ART0298,Portal E,1,nacionalni,0,pro_gradjanska_opcija,actor_055
ART0299,Portal B,-2,odgovornost,0,neutralan,actor_027
ART0300,Portal D,-1,proceduralni,0,neutralan,actor_015
ART0301,Portal B,1,nacionalni,0,pro_hrvatska_opcija,actor_040
ART0302,Portal D,-1,odgovornost,1,pro_opozicija,actor_064
ART0303,Portal E,1,proceduralni,0,pro_vlast,actor_064
ART0304,Portal E,-2,ekonomski,0,neutralan,actor_055
ART0305,Portal A,1,ekonomski,0,pro_srpska_opcija,actor_027
ART0306,Portal A,-1,nacionalni,0,pro_gradjanska_opcija,actor_017
ART0307,Portal A,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0308,Portal A,-1,proceduralni,1,pro_gradjanska_opcija,actor_019
ART0309,Portal D,0,proceduralni,1,neutralan,actor_019
ART0310,Portal A,0,proceduralni,0,neutralan,actor_026
ART0311,Portal A,1,konflikt,0,pro_opozicija,actor_030
ART0312,Portal E,-2,ekonomski,1,neutralan,actor_031
ART0313,Portal D,-1,odgovornost,1,pro_opozicija,actor_064
ART0314,Portal C,0,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0315,Portal C,0,konflikt,0,pro_hrvatska_opcija,actor_025
ART0316,Portal B,-1,konflikt,0,pro_opozicija,actor_027
ART0317,Portal A,-2,odgovornost,0,pro_opozicija,actor_043
ART0318,Portal B,0,proceduralni,0,neutralan,actor_043
ART0319,Portal B,0,proceduralni,0,neutralan,actor_012
ART0320,Portal B,1,odgovornost,0,pro_hrvatska_opcija,actor_040
ART0321,Portal B,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0322,Portal C,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0323,Portal A,-1,konflikt,0,pro_srpska_opcija,actor_027
ART0324,Portal C,0,nacionalni,0,pro_srpska_opcija,actor_027
ART0325,Portal D,1,proceduralni,0,pro_srpska_opcija,actor_033
ART0326,Portal B,-1,ekonomski,0,pro_opozicija,actor_037
ART0327,Portal A,1,proceduralni,0,pro_vlast,actor_033
ART0328,Portal D,-1,proceduralni,0,neutralan,actor_064
ART0329,Portal A,-1,odgovornost,0,pro_opozicija,actor_037
ART0330,Portal E,0,proceduralni,2,pro_vlast,actor_043
ART0331,Portal A,1,konflikt,0,pro_srpska_opcija,actor_004
ART0332,Portal C,-1,ekonomski,0,neutralan,actor_055
ART0333,Portal D,-2,odgovornost,0,neutralan,actor_012
ART0334,Portal C,-1,odgovornost,0,pro_hrvatska_opcija,actor_005
ART0335,Portal E,-1,konflikt,1,pro_opozicija,actor_023
ART0336,Portal B,-2,konflikt,0,pro_opozicija,actor_040
ART0337,Portal A,0,proceduralni,0,neutralan,actor_040
ART0338,Portal A,1,proceduralni,0,pro_gradjanska_opcija,actor_015
ART0339,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_025
ART0340,Portal A,1,ekonomski,1,neutralan,actor_039
ART0341,Portal E,1,nacionalni,1,pro_bosnjacka_opcija,actor_063
ART0342,Portal A,1,konflikt,0,pro_opozicija,actor_063
ART0343,Portal B,-1,konflikt,0,pro_gradjanska_opcija,actor_031
ART0344,Portal A,1,konflikt,0,pro_opozicija,actor_059
ART0345,Portal A,1,konflikt,1,neutralan,actor_027
ART0346,Portal E,1,proceduralni,0,pro_vlast,actor_017
ART0347,Portal A,-2,odgovornost,1,pro_bosnjacka_opcija,actor_027
ART0348,Portal A,-1,neutralan,0,pro_opozicija,actor_027
ART0349,Portal D,1,konflikt,2,pro_srpska_opcija,actor_027
ART0350,Portal C,1,proceduralni,0,pro_hrvatska_opcija,actor_017
ART0351,Portal B,-1,konflikt,0,pro_opozicija,actor_004
ART0352,Portal B,-1,konflikt,1,pro_vlast,actor_043
ART0353,Portal B,-2,odgovornost,0,pro_gradjanska_opcija,actor_012
ART0354,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0355,Portal C,0,ekonomski,0,neutralan,actor_012
ART0356,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0357,Portal C,-1,ekonomski,0,neutralan,actor_055
ART0358,Portal B,-1,odgovornost,0,pro_opozicija,actor_049
ART0359,Portal D,2,nacionalni,1,pro_srpska_opcija,actor_027
ART0360,Portal D,1,konflikt,0,pro_srpska_opcija,actor_004
ART0361,Portal D,1,nacionalni,0,pro_hrvatska_opcija,actor_025
ART0362,Portal D,1,ekonomski,0,pro_vlast,actor_053
ART0363,Portal D,0,proceduralni,0,neutralan,actor_027
ART0364,Portal B,-2,nacionalni,2,pro_opozicija,actor_047
ART0365,Portal C,-2,moralni,0,pro_opozicija,actor_018
ART0366,Portal E,-1,proceduralni,1,pro_opozicija,actor_018
ART0367,Portal B,-2,konflikt,0,pro_opozicija,actor_064
ART0368,Portal B,1,neutralan,0,pro_bosnjacka_opcija,actor_030
ART0369,Portal E,1,proceduralni,0,pro_opozicija,actor_031
ART0370,Portal D,0,proceduralni,2,neutralan,actor_031
ART0371,Portal A,-1,nacionalni,0,pro_srpska_opcija,actor_027
ART0372,Portal E,2,konflikt,0,pro_opozicija,actor_062
ART0373,Portal E,-2,nacionalni,0,neutralan,actor_031
ART0374,Portal E,-2,nacionalni,0,pro_hrvatska_opcija,actor_025
ART0375,Portal B,1,proceduralni,2,neutralan,actor_010
ART0376,Portal C,-2,odgovornost,0,pro_gradjanska_opcija,actor_055
ART0377,Portal A,1,odgovornost,0,neutralan,actor_050
ART0378,Portal A,1,konflikt,0,pro_opozicija,actor_063
ART0379,Portal B,-1,proceduralni,0,pro_bosnjacka_opcija,actor_027
ART0380,Portal E,-2,konflikt,2,neutralan,actor_052
ART0381,Portal A,-2,konflikt,0,pro_opozicija,actor_054
ART0382,Portal B,-1,odgovornost,1,pro_gradjanska_opcija,actor_004
ART0383,Portal D,-1,odgovornost,1,pro_gradjanska_opcija,actor_064
ART0384,Portal C,-1,proceduralni,1,pro_opozicija,actor_027
ART0385,Portal D,1,odgovornost,2,neutralan,actor_064
ART0386,Portal B,1,neutralan,0,pro_hrvatska_opcija,actor_017
ART0387,Portal B,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0388,Portal E,-1,konflikt,2,neutralan,actor_055
ART0389,Portal D,0,proceduralni,1,pro_gradjanska_opcija,actor_031
ART0390,Portal B,2,nacionalni,0,pro_bosnjacka_opcija,actor_054
ART0391,Portal C,0,proceduralni,0,pro_vlast,actor_064
ART0392,Portal D,2,nacionalni,0,pro_srpska_opcija,actor_027
ART0393,Portal C,1,proceduralni,0,pro_hrvatska_opcija,actor_040
ART0394,Portal B,1,proceduralni,0,pro_srpska_opcija,actor_064
ART0395,Portal A,-2,odgovornost,0,pro_opozicija,actor_054
ART0396,Portal A,-1,nacionalni,0,pro_gradjanska_opcija,actor_027
ART0397,Portal A,1,odgovornost,0,pro_opozicija,actor_032
ART0398,Portal D,-1,ekonomski,2,neutralan,actor_018
ART0399,Portal A,0,proceduralni,0,neutralan,actor_018
ART0400,Portal D,1,neutralan,0,pro_opozicija,actor_036
ART0401,Portal A,0,konflikt,0,neutralan,actor_052
ART0402,Portal E,0,proceduralni,2,pro_srpska_opcija,actor_031
ART0403,Portal B,-1,ekonomski,0,pro_gradjanska_opcija,actor_017
ART0404,Portal B,1,neutralan,0,pro_vlast,actor_054
ART0405,Portal C,1,nacionalni,0,pro_hrvatska_opcija,actor_017
